Baltimore Classification	Type	Genome Info	Family	Genus	Species	Organism Name	Organism Groups	Assembly	Level	Size(Mb)	GC%	Host	CDS	Neighbors	Release Date	RefSeq FTP	Type	Reference Source Information	Observation																																																																																																																																																																																																																																												
IV	(+)ssRNA	Monopartite	Picornaviridae	Cosavirus	Cosavirus A	Cosavirus A	Viruses;Other;Picornaviridae	GCA_000885595.1	Complete	0.007632	43.8	"human,vertebrates"	1	7	2009-01-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/595/GCF_000885595.1_ViralProj38497																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Cosavirus	Cosavirus F	Cosavirus F	Viruses;Other;Picornaviridae	GCA_002117635.1	Complete	0.006656	44.4	"human,vertebrates"	1	1	2012-05-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/635/GCF_002117635.1_ViralProj384965																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Cosavirus B	Human cosavirus B1	Viruses;Other;Picornaviridae	GCA_000884955.1	Complete	0.007205	43.8	human	1		2009-01-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/955/GCF_000884955.1_ViralProj38499																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Cosavirus D	Human cosavirus D1	Viruses;Other;Picornaviridae	GCA_000886475.1	Complete	0.007215	42.5	human	1		2009-01-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/475/GCF_000886475.1_ViralProj38501																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Cosavirus E	Human cosavirus E1	Viruses;Other;Picornaviridae	GCA_000886455.1	Complete	0.00658	41.9	human	1		2009-01-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/455/GCF_000886455.1_ViralProj38493																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Enterovirus A	Coxsackievirus A16	Viruses;Other;Picornaviridae	GCA_000861905.1	Complete	0.007413	47.9	"human,vertebrates"	1	2264	1994-03-08T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/905/GCF_000861905.1_ViralProj15445																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Enterovirus B	Coxsackievirus B3	Viruses;Other;Picornaviridae	GCA_002816685.1	Complete	0.007399	47.7	"human,vertebrates"	1	709	1993-08-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/685/GCF_002816685.1_ASM281668v1																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Enterovirus C	Human poliovirus 1 Mahoney	Viruses;Other;Picornaviridae	GCA_000861165.1	Complete	0.00744	46.3	"human,vertebrates"	1	863	1982-11-03T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/165/GCF_000861165.1_ViralProj15288	Reference	"NCBI, ViralZone"																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Enterovirus D	Enterovirus D68	Viruses;Other;Picornaviridae	GCA_002816725.1	Complete	0.007367	41.1	human	1	732	2004-08-18T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/725/GCF_002816725.1_ASM281672v1																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Enterovirus D	Enterovirus D70	Viruses;Other;Picornaviridae	GCA_000861205.1	Complete	0.00739	42.8	human	1	732	1993-04-29T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/205/GCF_000861205.1_ViralProj15297																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Rhinovirus A	Human rhinovirus A89	Viruses;Other;Picornaviridae	GCA_000862245.1	Complete	0.007152	39	"human,vertebrates"	1	200	1993-09-22T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/245/GCF_000862245.1_ViralProj15330	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Rhinovirus B	Rhinovirus B14	Viruses;Other;Picornaviridae	GCA_000861265.1	Complete	0.007212	40.6	human	1	70	1985-09-03T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/265/GCF_000861265.1_ViralProj15309																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Enterovirus	Rhinovirus C	Rhinovirus C	Viruses;Other;Picornaviridae	GCA_000872325.1	Complete	0.007099	42.8	"human,vertebrates"	1	81	2007-11-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/872/325/GCF_000872325.1_ViralProj27901																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Hepatovirus	Hepatovirus A	Hepatovirus A	Viruses;Other;Picornaviridae	GCA_000860505.1	Complete	0.007478	37.9	"human,vertebrates"	2	138	1987-12-31T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/860/505/GCF_000860505.1_ViralProj15308	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Viruses;Other;Picornaviridae	GCA_000861885.1	Complete	0.008251	58.9	"human,vertebrates"	1	29	1998-07-09T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/885/GCF_000861885.1_ViralProj15441	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Picornaviridae	Kobuvirus	Aichivirus B	Aichivirus B	Viruses;Other;Picornaviridae	GCA_000853805.1	Complete	0.008374	54.6	"human,vertebrates"	1	2	2002-11-09T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/853/805/GCF_000853805.1_ViralProj14948																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Parechovirus	Parechovirus A	Human parechovirus 2	Viruses;Other;Picornaviridae	GCA_000861505.1	Complete	0.007348	39.5	"human,vertebrates"	1	193	1998-05-25T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/505/GCF_000861505.1_ViralProj15357	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Picornaviridae	Rosavirus	Rosavirus A	Rosavirus A2	Viruses;Other;Picornaviridae	GCA_000918175.1	Complete	0.008931	51.4	"human,vertebrates"	1		2014-04-28T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/918/175/GCF_000918175.1_ViralProj246130	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Picornaviridae	Salivirus	Salivirus A	Salivirus NG-J1	Viruses;Other;Picornaviridae	GCA_000886535.1	Complete	0.007982	56.7	"human,vertebrates"	1	9	2009-06-17T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/535/GCF_000886535.1_ViralProj39349	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Barmah Forest virus	Barmah Forest virus	Viruses;Other;Togaviridae	GCA_000847585.1	Complete	0.011488	48.5	"human,invertebrates,vertebrates"	4	32	1997-01-14T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/585/GCF_000847585.1_ViralProj14679																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Chikungunya virus	Chikungunya virus	Viruses;Other;Togaviridae	GCA_000854045.1	Complete	0.011826	50	"human,invertebrates,vertebrates"	2	875	2002-09-06T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/045/GCF_000854045.1_ViralProj14998																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Eastern equine encephalitis virus	Eastern equine encephalitis virus	Viruses;Other;Togaviridae	GCA_000862705.1	Complete	0.011675	48.7	"human,invertebrates,vertebrates"	4	453	1991-12-16T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/705/GCF_000862705.1_ViralProj15429																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Madariaga virus	Madariaga virus	Viruses;Other;Togaviridae	GCA_000917835.1	Complete	0.011624	49.1	"human,invertebrates,vertebrates"	2	29	2014-03-17T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/917/835/GCF_000917835.1_ViralProj242273																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Mayaro virus	Mayaro virus	Viruses;Other;Togaviridae	GCA_000863385.1	Complete	0.011411	50.4	"human,invertebrates,vertebrates"	4	40	2002-02-22T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/385/GCF_000863385.1_ViralProj15392																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Onyong-nyong virus	Onyong-nyong virus	Viruses;Other;Togaviridae	GCA_000863005.1	Complete	0.011835	48.3	"human,invertebrates"	3	3	1990-09-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/005/GCF_000863005.1_ViralProj15311																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Ross River virus	Ross River virus	Viruses;Other;Togaviridae	GCA_000862165.1	 Chromosome	0.011657	51.4	"human,invertebrates,vertebrates"	3	16	1989-09-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/165/GCF_000862165.1_ViralProj15314																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Semliki Forest virus	Semliki Forest virus	Viruses;Other;Togaviridae	GCA_000860285.1	Complete	0.011442	53.2	"human,invertebrates,vertebrates"	3	12	1987-03-09T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/860/285/GCF_000860285.1_ViralProj15282																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Sindbis virus	Sindbis virus	Viruses;Other;Togaviridae	GCA_000860545.1	Complete	0.011703	50.9	"human,invertebrates,vertebrates"	4	227	1985-03-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/860/545/GCF_000860545.1_ViralProj15316																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	Viruses;Other;Togaviridae	GCA_000862105.1	Complete	0.011444	50.1	"human,invertebrates,vertebrates"	4	138	1993-06-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/105/GCF_000862105.1_ViralProj15302																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Togaviridae	Alphavirus	Western equine encephalitis virus	Western equine encephalitis virus	Viruses;Other;Togaviridae	GCA_000850885.1	Complete	0.011484	49.2	"human,invertebrates,vertebrates"	3	46	2000-01-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/850/885/GCF_000850885.1_ViralProj14831																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Bornaviridae	Orthobornavirus	Mammalian 1 orthobornavirus	Borna disease virus 1	Viruses;Other;Bornaviridae	GCA_002366305.1	Complete	0.00891	50.1	"human,vertebrates"	6	38	1994-01-06T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/366/305/GCF_002366305.1_ViralProj14675	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Bornaviridae	Orthobornavirus	Mammalian 1 orthobornavirus	Borna disease virus 2	Viruses;Other;Bornaviridae	GCA_000847565.2	Complete	0.008908	50.1	"human,vertebrates"	6	38	2001-09-19T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/565/GCF_000847565.3_ViralProj14675.1																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Bornaviridae	Orthobornavirus	Mammalian 2 orthobornavirus	Variegated squirrel bornavirus 1	Viruses;Other;Bornaviridae	GCA_001698295.1	Complete	0.008798	42.8	"human,vertebrates"	6	21	2015-07-09T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/295/GCF_001698295.1_ViralProj336046																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Filoviridae	Ebolavirus	Bundibugyo ebolavirus	Bundibugyo ebolavirus	Viruses;Other;Filoviridae	GCA_000889155.1	Complete	0.01894	42	"human,vertebrates"	9	22	2008-11-21T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/155/GCF_000889155.1_ViralProj51245																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Filoviridae	Ebolavirus	Reston ebolavirus	Reston ebolavirus	Viruses;Other;Filoviridae	GCA_000854085.1	Complete	0.018891	40.6	"human,vertebrates"	9	20	2002-09-04T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/085/GCF_000854085.1_ViralProj15006																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Filoviridae	Ebolavirus	Sudan ebolavirus	Sudan ebolavirus	Viruses;Other;Filoviridae	GCA_000855585.1	Complete	0.018875	41.3	"human,vertebrates"	9	19	2004-09-25T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/855/585/GCF_000855585.1_ViralProj15012	Reference	NCBI																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Filoviridae	Ebolavirus	Tai Forest ebolavirus	Tai Forest ebolavirus	Viruses;Other;Filoviridae	GCA_000888475.1	Complete	0.018935	42.3	"human,vertebrates"	9	2	2008-11-21T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/475/GCF_000888475.1_ViralProj51257	Reference	NCBI																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Filoviridae	Ebolavirus	Zaire ebolavirus	"Ebola virus - Mayinga, Zaire, 1976"	Viruses;Other;Filoviridae	GCA_000848505.1	Complete	0.018959	41.1	"human,vertebrates"	9	1574	1999-02-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/505/GCF_000848505.1_ViralProj14703	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Filoviridae	Marburgvirus	Marburg marburgvirus	"Ravn virus - Ravn, Kenya, 1987"	Viruses;Other;Filoviridae	GCA_000943645.1	Complete	0.019114	37.8	"human,vertebrates"	7	87	2006-04-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/943/645/GCF_000943645.1_ViralProj276005			"Divergence from Marburg virus - Musoke, Kenya, 1980 > 10%"																																																																																																																																																																																																																																												
V	(-)ssRNA	Monopartite	Filoviridae	Marburgvirus	Marburg marburgvirus	"Marburg virus - Musoke, Kenya, 1980"	Viruses;Other;Filoviridae	GCA_000857325.2	Complete	0.019111	38.3	"human,vertebrates"	7	87	1994-01-26T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/325/GCF_000857325.2_ViralProj15199	Reference																																																																																																																																																																																																																																														
V	(-)ssRNA	Monopartite	Paramyxoviridae	Avulavirus	Avian avulavirus 1	Avian avulavirus 1	Viruses;Other;Paramyxoviridae	GCA_002834085.1	Complete	0.015192	46.8	"human,vertebrates"	6	869	2009-09-29T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/834/085/GCF_002834085.1_ASM283408v1																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Avulavirus	Newcastle disease virus B1	Newcastle disease virus B1	Viruses;Other;Paramyxoviridae	GCA_000862725.1	Complete	0.015186	46.2	"human,vertebrates"	6		2000-12-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/725/GCF_000862725.1_ViralProj15433	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Paramyxoviridae	Henipavirus	Hendra henipavirus	Hendra henipavirus	Viruses;Other;Paramyxoviridae	GCA_000852685.1	Complete	0.018234	39.4	"human,vertebrates"	8	14	1998-07-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/852/685/GCF_000852685.1_ViralProj14911	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Paramyxoviridae	Henipavirus	Nipah henipavirus	Nipah henipavirus	Viruses;Other;Paramyxoviridae	GCA_000863625.1	Complete	0.018246	38.2	"human,vertebrates"	9	28	2000-06-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/625/GCF_000863625.1_ViralProj15443																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Jeilongvirus	Beilong virus	Beilong virus	Viruses;Other;Paramyxoviridae	GCA_000868925.1	Complete	0.019212	42.8	vertebrates	11	4	2006-02-24T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/868/925/GCF_000868925.1_ViralProj16630			Missing human host																																																																																																																																																																																																																																												
V	(-)ssRNA	Monopartite	Paramyxoviridae	Morbillivirus	Measles morbillivirus	Measles morbillivirus	Viruses;Other;Paramyxoviridae	GCA_000854845.1	Complete	0.015894	47.4	"human,vertebrates"	8	273	1998-12-09T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/845/GCF_000854845.1_ViralProj15025	Reference	"NCBI, ViralZone"																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Paramyxoviridae	Morbillivirus	Small ruminant morbillivirus	Peste des petits ruminants virus	Viruses;Other;Paramyxoviridae	GCA_000866445.1	Complete	0.015948	48.1	"human,vertebrates"	8	83	2004-10-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/866/445/GCF_000866445.1_ViralProj15499																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Pararubulavirus	Menangle pararubulavirus	Menangle virus	Viruses;Other;Paramyxoviridae	GCA_000866025.1	Complete	0.015516	42.3	vertebrates	7		2001-06-14T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/866/025/GCF_000866025.1_ViralProj16205			Missing human host																																																																																																																																																																																																																																												
V	(-)ssRNA	Monopartite	Paramyxoviridae	Pararubulavirus	Sosuga virus	Sosuga virus	Viruses;Other;Paramyxoviridae	GCA_000924495.1	Complete	0.01548	42.4	"human,vertebrates"	7		2014-01-29T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/924/495/GCF_000924495.1_ViralProj264896																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Respirovirus	Human respirovirus 1	Human parainfluenza virus 1 strain Washington/1964	Viruses;Other;Paramyxoviridae	GCA_000848705.1	Complete	0.0156	37.2	"human,vertebrates"	10	46	2002-03-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/705/GCF_000848705.1_ViralProj14743																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Respirovirus	Human respirovirus 3	Human respirovirus 3	Viruses;Other;Paramyxoviridae	GCA_000850205.1	Complete	0.015462	34.5	"human,vertebrates"	8	386	1998-09-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/850/205/GCF_000850205.1_ViralProj14706																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Rubulavirus	Human rubulavirus 2	Human rubulavirus 2	Viruses;Other;Paramyxoviridae	GCA_000863525.1	Complete	0.015646	38.4	"human,vertebrates"	7	58	1991-07-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/525/GCF_000863525.1_ViralProj15421																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Rubulavirus	Human rubulavirus 4	Human parainfluenza virus 4a	Viruses;Other;Paramyxoviridae	GCA_000910675.1	Complete	0.017052	36.2	human	7	24	2010-07-17T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/910/675/GCF_000910675.1_ViralProj214365																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Rubulavirus	Mammalian rubulavirus 5	Mammalian rubulavirus 5	Viruses;Other;Paramyxoviridae	GCA_000854805.1	Complete	0.015246	42.3	"human,vertebrates"	8	42	1998-03-21T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/805/GCF_000854805.1_ViralProj15014																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Paramyxoviridae	Rubulavirus	Mumps rubulavirus	Mumps rubulavirus	Viruses;Other;Paramyxoviridae	GCA_000856685.1	Complete	0.015384	42.5	"human,vertebrates"	8	394	2000-04-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/685/GCF_000856685.1_ViralProj15059	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Pneumoviridae	Metapneumovirus	Human metapneumovirus	Human metapneumovirus	Viruses;Other;Pneumoviridae	GCA_002815375.1	Complete	0.01335	36.3	"human,vertebrates"	9	159	2001-06-17T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/815/375/GCF_002815375.1_ASM281537v1																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Pneumoviridae	Orthopneumovirus	Human orthopneumovirus	Human respiratory syncytial virus strain B1	Viruses;Other;Pneumoviridae	GCA_000855545.1	Complete	0.015225	33.6	human	11	2024	1997-11-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/855/545/GCF_000855545.1_ViralProj15003	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Rhabdoviridae	Ledantevirus	Le Dantec virus	Le Dantec virus Strain: DakHD763	Viruses;Other;Rhabdoviridae	GCA_002118505.1	Complete	0.01145	37.8	human	6		2015-03-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/118/505/GCF_002118505.1_ViralProj385649																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Rhabdoviridae	Lyssavirus	Australian bat lyssavirus	Australian bat lyssavirus	Viruses;Other;Rhabdoviridae	GCA_000850325.1	Complete	0.011822	44.2	"human,vertebrates"	5	13	1999-08-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/850/325/GCF_000850325.1_ViralProj14730	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Rhabdoviridae	Lyssavirus	Duvenhage lyssavirus	Duvenhage lyssavirus	Viruses;Other;Rhabdoviridae	GCA_000905375.1	Complete	0.011976	44.2	"human,vertebrates"	5	3	2008-04-23T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/375/GCF_000905375.1_ViralProj194144																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Rhabdoviridae	Lyssavirus	European bat 1 lyssavirus	European bat 1 lyssavirus	Viruses;Other;Rhabdoviridae	GCA_000870765.1	Complete	0.011966	44.6	vertebrates	5	94	2007-04-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/870/765/GCF_000870765.1_ViralProj19757	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Rhabdoviridae	Lyssavirus	European bat 2 lyssavirus	European bat 2 lyssavirus isolate RV1333	Viruses;Other;Rhabdoviridae	GCA_000871625.2	Complete	0.01193	44.8	"human,vertebrates"	5	30	2007-04-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/625/GCF_000871625.2_ViralProj19759	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Rhabdoviridae	Lyssavirus	Irkut lyssavirus	Irkut lyssavirus	Viruses;Other;Rhabdoviridae	GCA_000905355.1	Complete	0.01198	44.5	vertebrates	5	1	2008-06-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/355/GCF_000905355.1_ViralProj194140			Missing human host																																																																																																																																																																																																																																												
V	(-)ssRNA	Monopartite	Rhabdoviridae	Lyssavirus	Lagos bat lyssavirus	Lagos bat lyssavirus	Viruses;Other;Rhabdoviridae	GCA_000905975.1	Complete	0.012016	43.5	"human,vertebrates"	5	6	2008-04-23T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/975/GCF_000905975.1_ViralProj194143																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Rhabdoviridae	Lyssavirus	Rabies lyssavirus	Rabies lyssavirus	Viruses;Other;Rhabdoviridae	GCA_000859625.1	Complete	0.011932	45.1	"human,vertebrates"	5	2133	1989-09-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/625/GCF_000859625.1_ViralProj15144	Reference	ViralZone																																																																																																																																																																																																																																													
V	(-)ssRNA	Monopartite	Rhabdoviridae	Tibrovirus	Ekpoma 2 tibrovirus	Ekpoma virus 2	Viruses;Other;Rhabdoviridae	GCA_002815875.1	Complete	0.012674	39.3	human	8		2015-02-18T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/815/875/GCF_002815875.1_ASM281587v1																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Rhabdoviridae	Vesiculovirus	Chandipura virus	Chandipura virus	Viruses;Other;Rhabdoviridae	GCA_000906815.1	Complete	0.01112	42.5	"human,invertebrates,vertebrates"	5	10	2010-10-24T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/815/GCF_000906815.1_ViralProj194137																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Rhabdoviridae	Vesiculovirus	Jurona vesiculovirus	Jurona vesiculovirus Strain: BeAr40578	Viruses;Other;Rhabdoviridae	GCA_002816015.1	Complete	0.011121	42	"human,invertebrates"	5	1	2015-03-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/015/GCF_002816015.1_ASM281601v1																																																																																																																																																																																																																																															
V	(-)ssRNA	Monopartite	Rhabdoviridae	Vesiculovirus	Vesicular stomatitis Indiana virus	Vesicular stomatitis Indiana virus	Viruses;Other;Rhabdoviridae	GCA_000850045.1	Complete	0.011161	41.7	vertebrates	6	54	1989-03-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/850/045/GCF_000850045.1_ViralProj14673	Reference	ViralZone	Missing human host																																																																																																																																																																																																																																												
